date,bergen_temp_mean,paris_temp_mean,bergen_temp_min,paris_temp_min,bergen_temp_max,paris_temp_max,bergen_precip_mm,paris_precip_mm,bergen_snowfall_mm,paris_snowfall_mm,bergen_sunshine_hours,paris_sunshine_hours,extreme
2016-01-01,3.6,6.5,-0.7,3.6,5.9,9.1,14.0,1.9,18.2,0.0,3.64,4.57,False
2016-01-02,0.7,9.0,-1.6,7.1,3.1,10.9,0.0,1.9,0.0,0.0,1.51,5.72,False
2016-01-03,-2.7,6.9,-3.4,4.7,-1.5,8.2,0.0,11.4,0.0,0.0,5.18,0.0,False
2016-01-04,-4.1,7.3,-5.3,5.4,-3.0,9.4,0.0,0.1,0.0,0.0,5.16,6.6,False
2016-01-05,-5.3,7.0,-6.5,5.3,-3.7,9.1,0.0,2.4,0.0,0.0,5.14,4.67,False
2016-01-06,-6.1,7.2,-6.9,5.3,-4.9,9.1,0.0,0.7,0.0,0.0,5.13,4.7,False
2016-01-07,-7.4,7.5,-8.5,5.3,-5.8,10.7,0.0,10.7,0.0,0.0,5.32,4.98,False
2016-01-08,-8.6,4.9,-9.6,1.3,-7.1,8.4,0.0,0.0,0.0,0.0,5.17,4.64,False
2016-01-09,-8.4,6.8,-10.0,3.5,-6.1,10.3,0.0,2.1,0.0,0.0,4.93,3.23,False
2016-01-10,-3.5,6.9,-6.5,4.9,-0.7,9.1,3.1,4.8,18.9,0.0,0.0,1.68,False
2016-01-11,-0.5,6.5,-1.8,4.8,0.6,8.1,0.0,5.6,0.0,0.0,4.96,3.43,False
2016-01-12,-2.9,6.3,-4.7,5.3,-1.2,7.2,0.0,1.2,0.0,0.0,4.34,6.1,False
2016-01-13,-0.2,5.1,-1.5,3.7,0.5,7.3,3.4,0.0,19.6,0.0,0.0,8.0,False
2016-01-14,0.3,4.4,-0.2,3.3,1.0,6.7,1.2,5.8,7.0,0.0,2.6,6.0,False
2016-01-15,-0.1,2.9,-1.4,1.1,0.5,5.2,8.1,0.0,50.4,0.0,0.0,7.59,False
2016-01-16,-5.9,1.5,-11.1,-1.4,-1.8,5.5,0.0,0.0,0.0,0.0,5.99,8.0,True
2016-01-17,-9.1,0.2,-11.4,-2.1,-6.4,2.8,0.0,0.3,0.7,0.0,5.48,0.54,True
2016-01-18,-4.6,-1.4,-9.8,-3.2,-1.2,1.3,4.4,0.0,28.7,0.0,4.41,0.21,False
2016-01-19,-8.5,-2.7,-11.0,-5.5,-6.2,1.2,0.0,0.0,0.0,0.0,5.83,7.65,True
2016-01-20,-9.7,-1.6,-11.7,-4.0,-7.4,1.9,0.0,0.0,0.0,0.0,6.0,8.05,True
2016-01-21,-8.5,-1.8,-13.1,-5.2,-4.7,4.1,0.0,0.0,0.0,0.0,5.91,8.0,True
2016-01-22,0.1,1.5,-6.2,-2.2,3.6,5.6,3.3,7.7,11.2,0.0,0.0,0.3,False
2016-01-23,3.2,4.8,2.1,2.8,4.4,5.9,10.5,0.0,13.3,0.0,0.45,0.03,False
2016-01-24,5.0,7.2,4.5,4.3,5.5,10.3,7.0,0.0,0.0,0.0,0.0,0.0,False
2016-01-25,7.4,7.9,4.7,3.5,9.1,12.9,8.8,0.0,0.0,0.0,0.0,8.03,False
2016-01-26,4.7,8.9,3.1,6.7,7.7,10.7,28.8,0.0,12.6,0.0,0.25,4.23,False
2016-01-27,4.3,10.2,-0.0,9.3,7.3,11.6,10.5,2.3,0.0,0.0,0.0,0.31,False
2016-01-28,3.5,7.7,2.1,1.9,4.3,10.9,9.1,3.7,16.1,0.0,2.13,0.17,False
2016-01-29,5.1,5.2,4.0,0.7,6.8,9.3,30.6,0.0,16.8,0.0,0.2,5.56,False
2016-01-30,2.3,8.4,0.5,6.6,4.6,9.3,19.1,8.4,82.6,0.0,0.0,0.0,False
2016-01-31,1.2,8.7,-0.2,6.1,2.0,12.2,10.0,2.2,45.5,0.0,6.06,0.0,False
2016-02-01,1.9,11.2,-0.1,9.9,5.4,12.4,19.3,0.0,46.9,0.0,0.0,0.68,False
2016-02-02,3.5,9.9,2.8,5.8,4.2,11.2,20.3,4.1,49.0,0.0,0.0,0.0,False
2016-02-03,1.5,5.7,0.3,4.7,2.4,7.5,6.8,0.8,15.4,0.0,4.48,8.45,False
2016-02-04,0.1,6.8,-1.4,3.5,1.2,10.4,3.2,0.3,7.7,0.0,7.54,0.0,False
2016-02-05,1.6,9.6,-3.1,8.6,5.5,11.3,6.6,0.0,16.1,0.0,0.0,0.0,False
2016-02-06,4.0,9.9,1.8,7.3,5.7,13.3,21.9,0.0,15.4,0.0,3.64,6.49,False
2016-02-07,4.4,8.8,1.8,6.3,6.0,12.1,31.1,3.5,14.0,0.0,0.01,8.44,False
2016-02-08,3.4,9.1,2.3,7.6,4.6,10.3,22.4,5.8,45.5,0.0,1.92,7.03,False
2016-02-09,3.2,7.3,1.6,2.7,4.0,10.8,4.7,8.3,2.1,0.0,4.05,3.0,False
2016-02-10,0.1,4.8,-2.7,2.7,3.4,7.5,0.0,0.2,0.0,0.0,6.68,8.82,False
2016-02-11,-0.9,4.3,-2.6,1.7,2.1,7.5,0.0,0.7,0.0,0.0,8.0,9.64,False
2016-02-12,-1.6,2.3,-3.5,0.7,1.0,3.6,0.0,6.7,0.0,3.5,8.1,0.0,False
2016-02-13,-3.5,5.7,-5.2,2.2,-0.7,10.4,0.0,12.2,0.0,0.0,8.07,2.0,False
2016-02-14,-4.5,5.8,-6.8,2.4,-0.8,8.3,0.0,2.8,0.0,0.0,8.21,7.64,False
2016-02-15,-3.7,3.4,-6.8,1.8,1.0,6.0,0.0,0.3,0.0,0.0,8.32,9.0,False
2016-02-16,-0.7,1.0,-5.3,-2.5,3.7,5.3,1.1,0.0,1.4,0.0,1.66,9.94,False
2016-02-17,2.1,-0.2,1.3,-4.4,3.2,4.4,29.3,0.0,105.7,0.0,0.0,9.97,False
2016-02-18,-0.1,1.8,-2.3,-1.4,1.1,5.5,0.4,0.1,6.3,0.0,0.61,0.89,False
2016-02-19,1.7,3.2,0.1,-1.6,3.0,8.5,5.0,0.0,21.0,0.0,8.21,10.0,False
2016-02-20,2.0,9.0,0.4,5.2,3.1,11.8,24.7,2.6,99.4,0.0,3.22,0.0,False
2016-02-21,1.1,10.7,-0.4,9.6,2.7,11.9,21.4,0.0,92.4,0.0,4.63,0.33,False
2016-02-22,1.3,9.5,-1.5,8.2,2.9,10.5,8.8,1.1,28.7,0.0,3.55,0.67,False
2016-02-23,1.9,6.7,0.4,2.7,2.7,9.9,2.1,6.4,1.4,0.0,8.9,7.35,False
2016-02-24,0.8,3.6,-0.7,-2.1,2.9,8.1,6.6,2.5,16.8,0.0,5.05,2.1,False
2016-02-25,0.1,2.9,-2.4,-1.8,2.1,7.0,0.3,0.0,0.7,0.0,9.59,10.0,False
2016-02-26,0.7,2.3,-1.6,-2.0,2.5,6.3,0.0,0.0,0.0,0.0,9.81,3.93,False
2016-02-27,0.0,3.3,-3.9,-0.7,2.7,8.2,0.0,0.0,0.0,0.0,8.99,8.96,False
2016-02-28,0.2,3.2,-2.4,-0.3,3.2,7.7,0.0,0.0,0.0,0.0,9.9,10.0,False
2016-02-29,-1.5,2.6,-7.1,-0.8,2.1,7.0,0.0,0.0,0.0,0.0,2.0,10.19,False
2016-03-01,1.2,2.8,0.9,-2.8,1.7,8.7,6.1,2.9,39.2,0.0,0.0,0.0,False
2016-03-02,1.2,7.3,0.6,3.8,2.4,9.9,3.2,2.6,22.4,0.0,0.0,7.4,False
2016-03-03,0.4,5.1,-1.7,2.8,2.8,7.7,0.0,1.5,0.7,0.0,1.35,10.22,False
2016-03-04,1.5,5.9,-1.4,3.3,4.4,8.0,0.0,16.5,0.0,0.0,9.2,5.2,False
2016-03-05,0.2,3.7,-4.0,1.0,4.1,7.0,0.0,10.8,0.0,36.4,10.0,7.02,False
2016-03-06,-0.4,4.0,-3.7,1.4,3.0,7.8,0.0,0.6,0.0,0.0,6.54,10.1,False
2016-03-07,0.1,2.0,-3.9,-2.1,4.0,6.3,0.0,1.6,0.0,0.0,10.11,10.56,False
2016-03-08,-1.1,3.6,-7.5,-0.7,2.8,8.1,0.0,0.2,0.0,0.0,10.48,10.73,False
2016-03-09,2.3,5.4,0.5,3.9,4.7,8.1,0.2,10.6,2.1,0.0,0.62,4.31,False
2016-03-10,2.5,6.2,-0.4,3.2,5.4,8.9,0.0,0.0,0.0,0.0,9.16,4.19,False
